2026-08-06T02:39:50.1277245-06:00 | LOGO | #75 Ovintiv
2026-08-06T02:40:28.1942478-06:00 | LOGO | #76 Tourmaline
2026-08-06T02:41:07.8217802-06:00 | LOGO | #77 MEG Energy
2026-08-06T02:41:46.0086260-06:00 | LOGO | #78 Imperial Oil
2026-08-06T02:42:24.4080102-06:00 | LOGO | #79 CNRL
2026-08-06T02:43:09.6924726-06:00 | LOGO | #80 Precision Drilling
2026-08-06T02:43:56.7520636-06:00 | LOGO | #81 Secure Energy
2026-08-06T02:44:42.2731312-06:00 | LOGO | #82 Parkland
2026-08-06T02:45:27.5387349-06:00 | LOGO | #83 Nutrien
2026-08-06T02:46:12.7711866-06:00 | LOGO | #84 Finning
2026-08-06T02:46:59.5555139-06:00 | LOGO | #85 Brandt Tractor
2026-08-06T02:47:37.8600188-06:00 | LOGO | #86 Wajax
2026-08-06T02:48:15.8342509-06:00 | LOGO | #87 Toromont
2026-08-06T02:48:53.9928722-06:00 | LOGO | #88 Caterpillar
2026-08-06T02:49:33.6459175-06:00 | LOGO | #89 Schlumberger
2026-08-06T02:51:16.6119362-06:00 | LOGO | #90 Halliburton
2026-08-06T02:52:01.9383360-06:00 | LOGO | #91 Baker Hughes
2026-08-06T02:52:40.1859217-06:00 | LOGO | #92 Weatherford
2026-08-06T02:53:19.8446370-06:00 | LOGO | #93 TechnipFMC
2026-08-06T02:54:05.2638978-06:00 | LOGO | #94 Worley
2026-08-06T02:54:50.5011568-06:00 | LOGO | #95 Stantec
2026-08-06T02:55:35.7498747-06:00 | LOGO | #96 Fluor
2026-08-06T02:56:15.1888827-06:00 | LOGO | #97 Kiewit
2026-08-06T02:56:53.2110741-06:00 | LOGO | #98 Ledcor
2026-08-06T02:57:31.2528030-06:00 | LOGO | #99 PCL
2026-08-06T02:58:09.2217907-06:00 | LOGO | #100 Bird Construction
2026-08-06T02:58:56.3051211-06:00 | LOGO | #101 Shell
2026-08-06T02:59:34.3358180-06:00 | LOGO | #102 ATCO
2026-08-06T03:00:12.4223435-06:00 | LOGO | #103 EPCOR
2026-08-06T03:00:50.5519581-06:00 | LOGO | #104 Arc Resources LTD
2026-08-06T03:01:30.5921520-06:00 | LOGO | #105 DNOW
2026-08-06T03:02:08.6515142-06:00 | LOGO | #106 Whitecap
2026-08-06T03:02:46.7788234-06:00 | LOGO | #107 Suncor
2026-08-06T03:03:25.0950530-06:00 | LOGO | #108 Paramount Resources
2026-08-06T03:04:05.0480583-06:00 | LOGO | #109 Warren Valve
2026-08-06T03:04:43.2737025-06:00 | LOGO | #110 BFL
2026-08-06T03:05:21.2814193-06:00 | LOGO | #111 Sureus Murphy
2026-08-06T03:05:59.6157306-06:00 | LOGO | #112 Arjae Design Solutions
2026-08-06T03:06:39.6437702-06:00 | LOGO | #113 Mastec Purnell
2026-08-06T03:08:22.5849307-06:00 | LOGO | #114 Comco
2026-08-06T03:09:07.7308209-06:00 | LOGO | #115 Apex
2026-08-06T03:09:45.6546763-06:00 | LOGO | #116 Canadian Plains Energy
2026-08-06T03:10:25.7689990-06:00 | LOGO | #117 Wolf Midstream
2026-08-06T03:11:11.3285572-06:00 | LOGO | #118 Pacific Canbriam
2026-08-06T03:11:49.8336084-06:00 | LOGO | #119 Fastenal
2026-08-06T03:12:35.1462351-06:00 | LOGO | #120 Cenovus
2026-08-06T03:13:14.7960040-06:00 | LOGO | #121 Enbridge
2026-08-06T03:13:52.9049106-06:00 | LOGO | #122 TC Energy
2026-08-06T03:14:31.0813121-06:00 | LOGO | #123 Pembina
2026-08-06T03:15:09.2895224-06:00 | LOGO | #124 Keyera
2026-08-06T03:15:48.7905171-06:00 | LOGO | #125 Ovintiv
2026-08-06T03:16:26.8456892-06:00 | LOGO | #126 Tourmaline
2026-08-06T03:17:05.0471635-06:00 | LOGO | #127 MEG Energy
2026-08-06T03:17:43.2837711-06:00 | LOGO | #128 Imperial Oil
2026-08-06T03:18:23.1173918-06:00 | LOGO | #129 CNRL
2026-08-06T03:19:08.3454915-06:00 | LOGO | #130 Precision Drilling
2026-08-06T03:19:54.0174867-06:00 | LOGO | #131 Secure Energy
2026-08-06T03:20:39.5288628-06:00 | LOGO | phase done pass=122/131
2026-08-06T03:20:39.5326870-06:00 | BOL | phase start until 04:20:39
2026-08-06T03:20:41.9218757-06:00 | BOL | #1
2026-08-06T03:21:22.8662059-06:00 | BOL | #2
2026-08-06T03:22:03.5723668-06:00 | BOL | #3
2026-08-06T03:22:44.2560605-06:00 | BOL | #4
2026-08-06T03:23:24.8871330-06:00 | BOL | #5
2026-08-06T03:24:05.6266176-06:00 | BOL | #6
2026-08-06T03:24:46.2998488-06:00 | BOL | #7
2026-08-06T03:25:26.9378878-06:00 | BOL | #8
2026-08-06T03:26:07.6829034-06:00 | BOL | #9
2026-08-06T03:26:48.3657187-06:00 | BOL | #10
2026-08-06T03:27:29.0485051-06:00 | BOL | #11
2026-08-06T03:28:09.7808106-06:00 | BOL | #12
2026-08-06T03:28:50.4632293-06:00 | BOL | #13
2026-08-06T03:29:31.1509014-06:00 | BOL | #14
2026-08-06T03:30:11.8862761-06:00 | BOL | #15
2026-08-06T03:30:52.6559364-06:00 | BOL | #16
2026-08-06T03:31:33.4043555-06:00 | BOL | #17
2026-08-06T03:32:14.0436051-06:00 | BOL | #18
2026-08-06T03:32:54.7734581-06:00 | BOL | #19
2026-08-06T03:33:35.4723149-06:00 | BOL | #20
2026-08-06T03:34:16.1834090-06:00 | BOL | #21
2026-08-06T03:34:56.8575504-06:00 | BOL | #22
2026-08-06T03:35:37.5250508-06:00 | BOL | #23
2026-08-06T03:36:18.2978994-06:00 | BOL | #24
2026-08-06T03:36:59.0182033-06:00 | BOL | #25
2026-08-06T03:37:39.7284953-06:00 | BOL | #26
2026-08-06T03:38:20.5219415-06:00 | BOL | #27
2026-08-06T03:39:01.2653543-06:00 | BOL | #28
2026-08-06T03:39:42.0600915-06:00 | BOL | #29
2026-08-06T03:40:22.8144483-06:00 | BOL | #30
2026-08-06T03:41:03.5723208-06:00 | BOL | #31
2026-08-06T03:41:44.3677801-06:00 | BOL | #32
2026-08-06T03:42:25.1531667-06:00 | BOL | #33
2026-08-06T03:43:05.9215017-06:00 | BOL | #34
2026-08-06T03:43:46.7327023-06:00 | BOL | #35
2026-08-06T03:44:27.5026772-06:00 | BOL | #36
2026-08-06T03:45:08.2222024-06:00 | BOL | #37
2026-08-06T03:45:49.0395909-06:00 | BOL | #38
2026-08-06T03:46:29.8299758-06:00 | BOL | #39
2026-08-06T03:47:10.6569915-06:00 | BOL | #40
2026-08-06T03:47:51.3905815-06:00 | BOL | #41
2026-08-06T03:48:32.1107960-06:00 | BOL | #42
2026-08-06T03:49:12.9045921-06:00 | BOL | #43
2026-08-06T03:49:53.7139173-06:00 | BOL | #44
2026-08-06T03:50:34.5189812-06:00 | BOL | #45
2026-08-06T03:51:15.2789248-06:00 | BOL | #46
2026-08-06T03:51:56.0518336-06:00 | BOL | #47
2026-08-06T03:52:36.8130843-06:00 | BOL | #48
2026-08-06T03:53:17.6043379-06:00 | BOL | #49
2026-08-06T03:53:58.3630740-06:00 | BOL | #50
2026-08-06T03:54:39.0951928-06:00 | BOL | #51
2026-08-06T03:55:19.8990872-06:00 | BOL | #52
2026-08-06T03:56:00.7294782-06:00 | BOL | #53
2026-08-06T03:56:41.5278960-06:00 | BOL | #54
2026-08-06T03:57:22.3110574-06:00 | BOL | #55
2026-08-06T03:58:03.0930408-06:00 | BOL | #56
2026-08-06T03:58:43.8850225-06:00 | BOL | #57
2026-08-06T03:59:24.6898134-06:00 | BOL | #58
2026-08-06T04:00:05.4660777-06:00 | BOL | #59
2026-08-06T04:00:46.2936645-06:00 | BOL | #60
2026-08-06T04:01:27.0970298-06:00 | BOL | #61
2026-08-06T04:02:07.9774129-06:00 | BOL | #62
2026-08-06T04:02:48.7557174-06:00 | BOL | #63
2026-08-06T04:03:29.4840446-06:00 | BOL | #64
2026-08-06T04:04:10.2871324-06:00 | BOL | #65
2026-08-06T04:04:51.0448462-06:00 | BOL | #66
2026-08-06T04:05:31.7940253-06:00 | BOL | #67
2026-08-06T04:06:12.5428407-06:00 | BOL | #68
